relative_lat_ft,relative_alt_ft
871175.8082227198,7000.0
871175.8082227198,7000.0
871175.8082227198,6000.0
871175.8082227198,6000.0
826885.0054343628,5000.0
782594.2026460058,5000.0
738303.3998576202,5000.0
694012.5970692632,5000.0
649721.7942809036,5000.0
605430.9914925493,5000.0
561140.1887041923,5000.0
516849.3859158353,5000.0
472558.58312747825,5000.0
428267.78033912124,5000.0
383976.9775507642,5000.0
339686.17476240726,5000.0
295395.37197405024,5000.0
251104.5691856984,5000.0
206813.7663973362,5000.0
162522.96360897922,5000.0
118232.1608206222,5000.0
73941.3580322652,4000.0
29650.555243908195,4000.0
-14640.24754444881,4000.0
-58931.05033280582,4000.0
-103221.85312116283,4000.0
-147512.65590951982,4000.0
-164462.24044799947,3000.0
