relative_lat_ft,relative_lon_ft
871175.8082227198,-1510613.3177290203
871175.8082227198,-1470737.699209823
871175.8082227198,-1437650.489372499
871175.8082227198,-1404563.2795351753
826885.0054343628,-1363153.1158021705
782594.2026460058,-1321830.3705846795
738303.3998576202,-1280595.250339766
694012.5970692632,-1239447.9612213885
649721.7942809036,-1198388.7090799804
605430.9914925493,-1157417.6994617558
561140.1887041923,-1116535.1376081603
516849.3859158353,-1075741.2284552827
472558.58312747825,-1035036.1766332804
428267.78033912124,-994420.1864657961
383976.9775507642,-953893.4619693795
339686.17476240726,-913456.2068529102
295395.37197405024,-873108.6245170188
251104.5691856984,-832850.9180535115
206813.7663973362,-792683.2902447936
162522.96360897922,-752605.9435632946
118232.1608206222,-712619.0801708943
73941.3580322652,-672722.901918349
29650.555243908195,-632917.6103447188
-14640.24754444881,-593579.4686246661
-58931.05033280582,-554995.1978997737
-103221.85312116283,-516353.4381425701
-147512.65590951982,-477654.2659212216
-164462.24044799947,-458450.1886222848
