relative_lon_ft,relative_alt_ft
-1510613.3177290203,7000.0
-1470737.699209823,7000.0
-1437650.489372499,6000.0
-1404563.2795351753,6000.0
-1363153.1158021705,5000.0
-1321830.3705846795,5000.0
-1280595.250339766,5000.0
-1239447.9612213885,5000.0
-1198388.7090799804,5000.0
-1157417.6994617558,5000.0
-1116535.1376081603,5000.0
-1075741.2284552827,5000.0
-1035036.1766332804,5000.0
-994420.1864657961,5000.0
-953893.4619693795,5000.0
-913456.2068529102,5000.0
-873108.6245170188,5000.0
-832850.9180535115,5000.0
-792683.2902447936,5000.0
-752605.9435632946,5000.0
-712619.0801708943,5000.0
-672722.901918349,4000.0
-632917.6103447188,4000.0
-593579.4686246661,4000.0
-554995.1978997737,4000.0
-516353.4381425701,4000.0
-477654.2659212216,4000.0
-458450.1886222848,3000.0
